ScanSourceItemNumber,ManufacturerItemNumber,Manufacturer,ItemStatus,PlantMaterialStatusValidfrom,ItemImage,ReboxItem,BStockItem,CatalogName,BusinessUnit,CategoryPath,ProductFamilyImage,ProductFamilyDescription,ProductFamilyHeadline,Description,ProductFamily
PSSXWX-Z3040,WX-Z3040A RB,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune Accessories,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the Attune Headset,Rebox: Attune/Attune II Battery Charger,Panasonic Attune Accessories
PSS-WX-Z3040,WX-Z3040A,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune Accessories,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the Attune Headset,Attune/Attune II Battery Charger,Panasonic Attune Accessories
PAN-WXSB100,WX-SB100,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune Accessories,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the Attune Headset,NEW ATTUNE BATTERY,Panasonic Attune Accessories
PAN-WXIQTIMERKIT,WX-IQTIMERKIT,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune Accessories,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the Attune Headset,"NUC, OS, IO Box, iQTimer Software, Assembly and Setup",Panasonic Attune Accessories
PANXWX-CS560,WX-CS560 RB,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Drive Thru Systems//Panasonic AIO Order Taker Sys.,http://s7d5.scene7.com/is/image/ScanSource/panasonic%2Dattune%2Dii%2Dorder%2Dtaker,"Attune II is the most effective noise-cancelling drive-thru headset system in the industry. Attune II headset can take 1,100 lbs of force which saves massive amounts in repairs and replacements. Available in All-in-One or lightweight belt pack models, Attune delivers the advanced features and scalability needed for today and tomorrow.",Premium Drive-Thru communication provided by the premium system,"Rebox: Low Profile Speaker/Microphone (All Systems, New Style)",Panasonic AIO Order Taker Sys.
PAN-WX-CS560,WX-CS560,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Drive Thru Systems//Panasonic AIO Order Taker Sys.,http://s7d5.scene7.com/is/image/ScanSource/panasonic%2Dattune%2Dii%2Dorder%2Dtaker,"Attune II is the most effective noise-cancelling drive-thru headset system in the industry. Attune II headset can take 1,100 lbs of force which saves massive amounts in repairs and replacements. Available in All-in-One or lightweight belt pack models, Attune delivers the advanced features and scalability needed for today and tomorrow.",Premium Drive-Thru communication provided by the premium system,"Low Profile Speaker/Microphone (All Systems, New Style)",Panasonic AIO Order Taker Sys.
PAN-WX-CR470,WX-CR470,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Drive Thru Systems//Panasonic AIO Order Taker Sys.,http://s7d5.scene7.com/is/image/ScanSource/panasonic%2Dattune%2Dii%2Dorder%2Dtaker,"Attune II is the most effective noise-cancelling drive-thru headset system in the industry. Attune II headset can take 1,100 lbs of force which saves massive amounts in repairs and replacements. Available in All-in-One or lightweight belt pack models, Attune delivers the advanced features and scalability needed for today and tomorrow.",Premium Drive-Thru communication provided by the premium system,Attune II Wireless Repeater,Panasonic AIO Order Taker Sys.
PAN-WXCH457,WX-CH457,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Headsets//Panasonic Attune Headsets,http://s7d5.scene7.com/is/image/ScanSource/panasonic-attuneheadset,"The only digital headset with Panasonic’s world renowned audio and wireless digital expertise – for clear and consistent communication with customers and employees. Engineered to optimize audio transmission technology, Attune helps improve order accuracy for better profitability, decreasing total cost of ownership. Scalable, customizable and easy to program, Attune offers exclusive features providing enhanced functionality and better overall operation management capabilities. Trust Panasonic to introduce a better benchmark in performance for digital drive-thru communications systems.",Panasonic Attune II Headsets,457 AIO Headset,Panasonic Attune Headsets
PAN-WXCH427,WX-CH427,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Headsets//Panasonic Attune Headsets,http://s7d5.scene7.com/is/image/ScanSource/panasonic-attuneheadset,"The only digital headset with Panasonic’s world renowned audio and wireless digital expertise – for clear and consistent communication with customers and employees. Engineered to optimize audio transmission technology, Attune helps improve order accuracy for better profitability, decreasing total cost of ownership. Scalable, customizable and easy to program, Attune offers exclusive features providing enhanced functionality and better overall operation management capabilities. Trust Panasonic to introduce a better benchmark in performance for digital drive-thru communications systems.",Panasonic Attune II Headsets,Attune II Headset,Panasonic Attune Headsets
PSS-WX-CC412A,WX-CC412A,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Drive Thru Systems//Panasonic AIO Order Taker Sys.,http://s7d5.scene7.com/is/image/ScanSource/panasonic%2Dattune%2Dii%2Dorder%2Dtaker,"Attune II is the most effective noise-cancelling drive-thru headset system in the industry. Attune II headset can take 1,100 lbs of force which saves massive amounts in repairs and replacements. Available in All-in-One or lightweight belt pack models, Attune delivers the advanced features and scalability needed for today and tomorrow.",Premium Drive-Thru communication provided by the premium system,Attune II Center Module Dual Lane,Panasonic AIO Order Taker Sys.
PANXWXCC412,WX-CC412 RB,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune AIO Acc.,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the AIO,Rebox: Attune II Center Module Dual Lane,Panasonic Attune AIO Acc.
PAN-WX-CC411A,WX-CC411A,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune AIO Acc.,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the AIO,Attune II Center Module SingleLane,Panasonic Attune AIO Acc.
PAN-WXC695SWR,WX-C695S-WR,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune AIO Acc.,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the AIO,Attune Wire Kit Wet Rated,Panasonic Attune AIO Acc.
PAN-WXC695S,WX-C695S,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune AIO Acc.,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the AIO,Attune Wire Kit,Panasonic Attune AIO Acc.
PAN-WX-C690WL-250,WX-C690WL-250,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Drive Thru Systems//Panasonic AIO Order Taker Sys.,http://s7d5.scene7.com/is/image/ScanSource/panasonic%2Dattune%2Dii%2Dorder%2Dtaker,"Attune II is the most effective noise-cancelling drive-thru headset system in the industry. Attune II headset can take 1,100 lbs of force which saves massive amounts in repairs and replacements. Available in All-in-One or lightweight belt pack models, Attune delivers the advanced features and scalability needed for today and tomorrow.",Premium Drive-Thru communication provided by the premium system,Audio Cable for headset sys 250 ft,Panasonic AIO Order Taker Sys.
PANXWXC690WL,WX-C690WL RB,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune Accessories,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the Attune Headset,Rebox: Speaker/Mic/Loop Cable Kit - Wet Location Rated,Panasonic Attune Accessories
PSS-WX-B3030,WX-B3030,Panasonic,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Point-of-Sale/Computing//Accessories//Other Accessories//Panasonic Attune Accessories,http://s7d5.scene7.com/is/image/ScanSource/icon-accessories,Panasonic accessories to complete your solution,Supporting the Attune Headset,Attune/Attune II Battery,Panasonic Attune Accessories
PIP-WVXAE203W,WV-XAE203W,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Video Management Software//Panasonic Video Management Software,,,,"NON-MASK DETECTION EXTENSION SOFTWARE LICENSE, VIDEO INSIGHT 7.8 OR HIGHER",Panasonic Video Management Software
PIP-WVXAE201W,WV-XAE201W,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Video Management Software//Panasonic Video Management Software,,,,PRIVACY GUARD EXTENSION SOFTWARE LICENSE,Panasonic Video Management Software
PIP-WVXAE200W,WV-XAE200W,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Video Management Software//Panasonic Video Management Software,,,,AI-VMD EXTENSION SOFTWARE LICENSE,Panasonic Video Management Software
PIP-WVX8571N2,WV-X8571N/2,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,WV-X8571N 2 PACK,Panasonic Network Fixed Dome Cameras
PIP-WVX8571N,WV-X8571N,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Control Systems//Panasonic Controllers,,,,4X4K(33MP) MULTI-SENSOR OUTDOOR VANDAL R,Panasonic Controllers
PANXWVX8570N,WV-X8570N RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Multi-Sensor Cameras,,,,Rebox: 4X4K MULTI-SENSOR DOME CAMERA H.265,Panasonic Network Multi-Sensor Cameras
PAN-WVX6533LN,WV-X6533LN,Panasonic i-Pro,CU,0001-01-01T00:00:00,http://s7d5.scene7.com/is/image/ScanSource/panasonic-wvx6533ln,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network PTZ Cameras,,,,"1080p Outdoor PTZ Network camera, H.265, 40x Lens, Long distance IR-LED,  ClearSight coating dome",Panasonic Network PTZ Cameras
PIP-WVX6531N2,WV-X6531N/2,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network Fixed Dome Cameras,,,,WV-X6531N 2 PACK,Panasonic Network Fixed Dome Cameras
PANXWV-X6531N,WV-X6531N RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network PTZ Cameras,,,,"Rebox: Weatherproof PTZ Dome Network Camera, 40x Intelligent Zoom Stabilization, Full HD 1080p at 60 Frames Per Second, Intelligent Auto, 144dB Wide Dynamic Range, IP66, IK10 Certified",Panasonic Network PTZ Cameras
PAN-WV-X6531N,WV-X6531N,Panasonic i-Pro,CU,0001-01-01T00:00:00,http://s7d5.scene7.com/is/image/ScanSource/panasonic-wvx6531n,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network PTZ Cameras,,,,"Weatherproof PTZ Dome Network Camera, 40x Intelligent Zoom Stabilization, Full HD 1080p at 60 Frames Per Second, Intelligent Auto, 144dB Wide Dynamic Range, IP66, IK10 Certified",Panasonic Network PTZ Cameras
PANXWVX6511N,WV-X6511N RB,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network PTZ Cameras,,,,Rebox: 720P H.265 Outdoor PTZ 40X Zoom,Panasonic Network PTZ Cameras
PAN-WVX6511N,WV-X6511N,Panasonic i-Pro,CU,0001-01-01T00:00:00,http://s7d5.scene7.com/is/image/ScanSource/panasonic-wvx6511n,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network PTZ Cameras,,,,720P H.265 Outdoor PTZ 40X Zoom,Panasonic Network PTZ Cameras
PIP-WVX4573LM,WV-X4573LM,Panasonic i-Pro,CU,0001-01-01T00:00:00,,false,false,ScanSource NA,1700,Physical Security//Video Surveillance//Surveillance Cameras//Panasonic Network 360 Degree Cameras,,,,"12MP SENSOR OUTDOOR VANDAL RESISTANT 360 DOME CAMERA, H.265/H.264/MJPEG, 1.4MM FISHEYE LENS, 2992X2992PIXEL UP TO 30FPS, IR LED, IP66, IK10, AUDIO IN/OUT, BUILT-IN MIC, M12 CONNECTOR, 5 YEAR WARRANTY, VIDEO INSIGHT 7.8 OR HIGHER",Panasonic Network 360 Degree Cameras
